Time (s),Epoch,Train Loss
42.98781681060791,1,79.541954
86.01768684387207,2,45.171696
129.16053080558777,3,42.26742
172.40742087364197,4,40.84918
215.74247980117798,5,40.359303
259.0670340061188,6,39.94441
302.40351486206055,7,39.16356
345.76389384269714,8,38.718197
389.1160068511963,9,37.92436
432.5135087966919,10,37.40963
476.5144989490509,11,36.94478
519.9652678966522,12,36.773342
563.472275018692,13,36.456104
606.9197030067444,14,36.086464
650.4033298492432,15,35.96742
693.9050049781799,16,35.713993
737.3886218070984,17,35.43877
