n_z,time_mean,time_std,memory_estimate,allocations,gc_percent
10,0.061497313,NaN,4.395842552185059e-6,111,0.0
20,0.064729326,NaN,4.395842552185059e-6,111,0.0
30,0.063706612,NaN,4.395842552185059e-6,111,0.0
40,0.063190387,NaN,4.395842552185059e-6,111,0.0
50,0.064914763,NaN,4.395842552185059e-6,111,0.0
