n_z,time_mean,time_std,memory_estimate,allocations,gc_percent
10,0.024921874,NaN,4.395842552185059e-6,111,0.0
20,0.025468766,NaN,4.395842552185059e-6,111,0.0
30,0.025115888,NaN,4.395842552185059e-6,111,0.0
40,0.02663361,NaN,4.395842552185059e-6,111,0.0
50,0.026029259,NaN,4.395842552185059e-6,111,0.0
