latent_dim,time_mean,time_std,memory_estimate,allocations,gc_percent
21,0.005692057,0.00019151209350978335,8.195638656616211e-7,20,0.0
41,0.005817146,0.00019391554945903642,8.195638656616211e-7,20,0.0
61,0.005668292,0.000124081683749053,8.195638656616211e-7,20,0.0
81,0.005495995,4.767879604184653e-5,8.195638656616211e-7,20,0.0
101,0.005779104,5.5838808296739284e-5,8.195638656616211e-7,20,0.0
