latent_dim,time_mean,time_std,memory_estimate,allocations,gc_percent
21,0.044553117,NaN,2.7418136596679688e-6,87,0.0
41,0.045109607,NaN,2.7418136596679688e-6,87,0.0
61,0.044939439,NaN,2.7418136596679688e-6,87,0.0
81,0.045381687,NaN,2.7418136596679688e-6,87,0.0
101,0.045387824,NaN,2.7418136596679688e-6,87,0.0
