latent_dim,time_mean,time_std,memory_estimate,allocations,gc_percent
21,0.007423069,NaN,1.341104507446289e-6,30,0.0
41,0.007065877,NaN,1.341104507446289e-6,30,0.0
61,0.007076287,NaN,1.341104507446289e-6,30,0.0
81,0.007124868,NaN,1.341104507446289e-6,30,0.0
101,0.00706875,NaN,1.341104507446289e-6,30,0.0
